symbol
A2ML1
AARS1
AASS
ABAT
ABCA4
ABCB7
ABCC2
ABCC6
ABCC8
ABCC9
ABCD1
ABCD3
ABCD4
ABCG5
ABCG8
ABHD12
ABHD5
ACAD8
ACAD9
ACADL
ACADM
ACADS
ACADSB
ACADVL
ACAT1
ACAT2
ACBD5
ACOX1
ACP4
ACSL4
ACTA1
ACTA2
ACTB
ACTC1
ACTG1
ACTN1
ACTN2
ACVRL1
ACY1
ADA
ADAMTS10
ADAMTS13
ADAMTS2
ADAMTS3
ADAR
ADAT3
ADCY1
ADGRV1
ADNP
ADSL
AFF2
AFF4
AFP
AGA
AGBL5
AGK
AGL
AGPS
AGT
AGTR2
AGXT
AHCY
AHI1
AIFM1
AIRE
AKAP9
AKT3
ALDH18A1
ALDH3A2
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDH8A1
ALDOB
ALG1
ALG11
ALG12
ALG13
ALG2
ALG3
ALG6
ALG8
ALG9
ALK
ALMS1
ALPK3
ALPL
ALX4
AMACR
AMER1
AMMECR1
AMN
AMPD1
AMT
ANGPTL3
ANK1
ANK2
ANK3
ANKH
ANKRD1
ANKRD11
ANKRD26
ANO5
ANO6
ANOS1
AP1S1
AP1S2
AP3B1
AP3D1
AP4B1
AP4E1
AP4M1
AP4S1
APC
APOB
APOE
APPL1
APTX
AQP11
AQP5
AQP7
AR
ARFGEF2
ARG1
ARHGEF10
ARHGEF18
ARHGEF6
ARHGEF9
ARID1A
ARID1B
ARL13B
ARL3
ARL6
ARMC9
ARPC1B
ARSA
ARSB
ARSD
ARSL
ARX
ASAH1
ASCL1
ASH1L
ASL
ASNS
ASPA
ASPM
ASS1
ASTN2
ASXL2
ATAD3A
ATF6
ATL1
ATL3
ATM
ATN1
ATP13A2
ATP1A1
ATP1A2
ATP1A3
ATP5MD
ATP6AP1
ATP6AP2
ATP6V0A4
ATP6V1A
ATP6V1B1
ATP6V1B2
ATP6V1E1
ATP7A
ATP7B
ATRX
ATXN1
AUH
AUTS2
AVP
AVPR1A
AVPR2
AXIN2
B3GAT3
B4GALT1
BAAT
BAG3
BAP1
BARD1
BBIP1
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BCAP31
BCAT2
BCKDHA
BCKDHB
BCKDK
BCL11A
BCOR
BCS1L
BDNF
BDP1
BGN
BICD2
BIN1
BLK
BLM
BLOC1S3
BLOC1S6
BMPR1A
BNC2
BRAF
BRCA1
BRCA2
BRIP1
BRPF1
BRWD3
BSCL2
BSND
BTD
BTK
BUB1
BUB1B
BUB3
BVES
C12orf57
C12orf65
C19orf12
C1orf194
C1QB
CA5A
CA8
CABP2
CACNA1A
CACNA1C
CACNA1D
CACNA1F
CACNA1G
CACNA1H
CACNA1S
CACNA2D1
CACNB2
CACNB4
CACNG2
CAD
CADM1
CALM1
CALM2
CALM3
CALR3
CAMK2G
CAMTA1
CANT1
CAPN1
CAPN3
CARMIL2
CASK
CASQ2
CASR
CAT
CAV1
CAV3
CBL
CBLIF
CBS
CC2D1A
CC2D2A
CCDC115
CCDC22
CCDC50
CCDC78
CCDC88C
CCND2
CCT5
CD151
CD164
CD3E
CDC14A
CDC42
CDC73
CDH1
CDH15
CDH2
CDH23
CDH7
CDK10
CDK16
CDK4
CDK5RAP2
CDKL5
CDKN1B
CDKN1C
CDKN2A
CDKN2D
CDON
CDX2
CEACAM16
CEBPA
CEL
CEMIP
CENPJ
CEP152
CEP290
CEP41
CEP57
CEP78
CFAP251
CFL2
CFTR
CHAT
CHCHD10
CHD1L
CHD2
CHD7
CHD8
CHEK1
CHEK2
CHN1
CHRM3
CHRNA2
CHRNA4
CHRNB2
CHRND
CHRNE
CHST11
CHST14
CHSY1
CIB2
CISD2
CLCN1
CLCN3
CLCN4
CLDN14
CLIC2
CLIC5
CLN3
CLN5
CLN6
CLN8
CLPB
CLPP
CLRN1
CLTCL1
CNGA1
CNKSR2
CNNM2
CNTN4
CNTNAP2
CNTNAP5
COCH
COG1
COG4
COG5
COG6
COG7
COG8
COL11A1
COL11A2
COL12A1
COL18A1
COL1A1
COL1A2
COL2A1
COL3A1
COL4A1
COL4A2
COL4A3
COL4A4
COL4A5
COL4A6
COL5A1
COL5A2
COL6A1
COL6A2
COL6A3
COL9A1
COL9A2
COL9A3
COLQ
COMP
COQ2
COQ8A
COQ9
COX10
COX15
COX6A1
COX8A
CP
CPA6
CPS1
CPT1A
CPT1B
CPT2
CRADD
CRBN
CREBBP
CRH
CRPPA
CRYAB
CRYL1
CRYM
CSNK2A1
CSNK2B
CSRP3
CSTB
CTC1
CTCF
CTDP1
CTF1
CTH
CTNNA1
CTNNA3
CTNNB1
CTNS
CTSA
CTSC
CTSD
CTSF
CTSK
CTU2
CUBN
CUL4B
CUL7
CWC27
CXCR3
CXorf56
CYB5R3
CYBB
CYCS
CYFIP2
